N_bulk,Avg_bulk,BCN_0,BCN_1,BCN_2,BCN_3,BCN_4,BCN_5,BCN_6,BCN_7,BCN_8,BCN_9,BCN_10,BCN_11,BCN_12,BCN_13,BCN_14,BCN_15,BCN_16,BCN_17,BCN_18,BCN_19,BCN_20,FCC,HCP,ICOS,DECA,q6q6_avg_bulk,q6q6_B0,q6q6_B1,q6q6_B2,q6q6_B3,q6q6_B4,q6q6_B5,q6q6_B6,q6q6_B7,q6q6_B8,q6q6_B9,q6q6_B10,q6q6_B11,q6q6_B12,q6q6_B13,q6q6_B14,q6q6_B15,q6q6_B16,q6q6_B17,q6q6_B18,q6q6_B19,q6q6_B20,q6q6_B20+
184,12.5,0,0,0,0,0,0,0,0,0,0,3,22,60,79,19,1,0,0,0,0,0,0,0,0,0,0.8043,97,57,15,7,3,3,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
200,12.365,0,0,0,0,0,0,0,0,0,0,2,30,80,71,15,2,0,0,0,0,0,0,0,0,0,0.8,100,61,26,6,6,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
385,12.2545,0,0,0,0,0,0,0,0,0,0,1,17,264,89,14,0,0,0,0,0,0,105,56,0,8,9.2442,15,10,11,7,11,13,12,11,39,25,25,29,159,18,0,0,0,0,0,0,0,0
497,12.2274,0,0,0,0,0,0,0,0,0,0,1,25,342,118,11,0,0,0,0,0,0,152,91,0,9,9.4165,12,9,13,17,15,12,10,26,54,24,28,42,214,20,1,0,0,0,0,0,0,0
637,12.2182,0,0,0,0,0,0,0,0,0,0,2,17,477,123,17,1,0,0,0,0,0,219,124,0,11,10.2402,5,4,12,15,10,13,11,16,51,39,48,53,335,25,0,0,0,0,0,0,0,0
905,12.147,0,0,0,0,0,0,0,0,0,1,6,55,661,163,17,2,0,0,0,0,0,317,151,0,10,9.8,12,27,28,17,23,27,21,24,56,50,39,83,461,37,0,0,0,0,0,0,0,0
1036,12.1863,0,0,0,0,0,0,0,0,0,0,4,43,773,190,24,2,0,0,0,0,0,339,207,0,12,10.4392,8,9,18,11,13,23,17,33,80,50,62,106,523,77,6,0,0,0,0,0,0,0
1603,12.2183,0,0,0,0,0,0,0,0,0,0,4,47,1185,330,36,1,0,0,0,0,0,575,287,0,16,10.4959,15,19,34,24,29,33,29,29,98,69,78,112,867,151,16,0,0,0,0,0,0,0
1778,12.162,0,0,0,0,0,0,0,0,0,1,4,47,1407,293,25,1,0,0,0,0,0,750,334,0,17,10.9792,7,8,18,19,13,14,19,35,125,65,67,115,1134,135,4,0,0,0,0,0,0,0
2426,12.1649,0,0,0,0,0,0,0,0,0,0,14,74,1884,407,46,1,0,0,0,0,0,984,491,0,35,10.3644,41,30,55,41,39,35,30,52,187,99,106,133,1420,156,2,0,0,0,0,0,0,0
